url,price,area,rooms,location,private
https://www.otodom.pl/pl/oferta/3-pokoje-bezposrednio-przy-lesie-bazantowo-ID4t9lW,585000.0,54.0,THREE,Kostuchna,False
https://www.otodom.pl/pl/oferta/apartament-4-pokoje-sokolska-towers-ID4t9lT,959000.0,85.15,FOUR,Śródmieście,False
https://www.otodom.pl/pl/oferta/serce-miasta-widok-na-plac-wolnosci-ID4t9lS,849000.0,100.02,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/apartament-ul-pulaskiego-3-miejsca-postojowe-ID4t9lR,990000.0,70.0,THREE,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/2-pokoje-na-os-paderewskiego-ID4t9lP,399000.0,43.5,TWO,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-gory-katowice-ligota-ID4t9lM,465000.0,56.0,THREE,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/w-pelni-wyposazone-2-sypialnie-2-lazienki-ID4t9lK,980000.0,81.0,THREE,Kostuchna,False
https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-park-garaz-recepcja-ID4t9lE,1149000.0,116.0,FOUR,Koszutka,False
https://www.otodom.pl/pl/oferta/odnowiona-kamienica-c-o-garaz-ID4t9lD,199000.0,42.0,TWO,Wełnowiec-Józefowiec,False
https://www.otodom.pl/pl/oferta/widok-na-panorame-katowic-i-gory-19-pietro-ID4t9ly,700000.0,28.0,ONE,Śródmieście,False
https://www.otodom.pl/pl/oferta/apartament-z-tarasem-85m2-garaz-recepcja-ID4t9lw,1150000.0,230.0,FOUR,Koszutka,False
https://www.otodom.pl/pl/oferta/3-niezalezne-pokoje-ul-kosciuszki-300m-od-rynku-ID4t9lm,550000.0,67.0,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/zamieszkaj-w-samym-centrum-top-lokalizacja-ID4t9gm,1092000.0,65.0,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/kostuchna-rodzinny-apartament-z-ogrodkiem-ID4rOXu,900000.0,100.0,FOUR,Kostuchna,False
https://www.otodom.pl/pl/oferta/daszynskiego-park-b17-ID4eNh9,585784.0,71.84,FOUR,Wełnowiec-Józefowiec,False
https://www.otodom.pl/pl/oferta/brynow-piekny-apartament-prestizowe-osiedle-garaz-ID4pEx1,625000.0,60.0,TWO,Załęska Hałda-Brynów,False
https://www.otodom.pl/pl/oferta/nowe-2-pokoje-scisle-centrum-parking-ID4rJsS,399000.0,36.5,TWO,Śródmieście,False
https://www.otodom.pl/pl/oferta/dwa-nowe-mieszkania-2w1-centrum-parking-ID4rJt2,450000.0,46.0,TWO,Śródmieście,False
